id;full_name;dob;telnum;mail;loyalty
C0000000041;Raynoch Thompson;1943-09-24;+43  664 6662712;Raynoch.Thompson@example.com;0
C0000000042;Cornelius Griffin;1996-06-20;+43  664 9872878;Cornelius.Griffin@example.com;0
C0000000043;Rogers Beckett;1959-09-04;+43  680 4258548;Rogers.Beckett@outlook.com;0
C0000000044;Chad Clifton;1975-02-28;+43  664 3815124;Chad.Clifton@outlook.com;0
C0000000045;Kenoy Kennedy;1967-09-14;+43  664 5112342;Kenoy.Kennedy@univie.ac.at;0
C0000000046;Adrian Klemm;1946-03-05;+43  664 6591704;Adrian.Klemm@gmx.de;0
C0000000047;Jerry Porter;1982-04-20;+43  664 1450344;Jerry.Porter@gmx.de;0
C0000000048;Jason Webster;1947-05-15;+43  664 8359108;Jason.Webster@outlook.com;0
C0000000049;Dwayne Goodrich;1995-05-04;+43  680 8051036;Dwayne.Goodrich@yahoo.com;0
C0000000050;Barrett Green;1975-05-22;+43  1 8734639;Barrett.Green@gmx.at;1
C0000000051;Cosey Coleman;1982-12-11;+43  664 2396960;Cosey.Coleman@gmail.com;0
C0000000052;Ike Charlton;1978-09-26;+43  680 4894991;Ike.Charlton@univie.ac.at;0
C0000000053;Todd Wade;2004-10-27;+43  664 5049665;Todd.Wade@hotmail.com;0
C0000000054;William Bartee;2005-04-13;+43  676 1514044;William.Bartee@gmx.de;0
C0000000055;Fred Robbins;2004-09-24;+43  664 2399067;Fred.Robbins@chello.at;0
C0000000056;Michael Boireau;1957-04-26;+43  680 4192778;Michael.Boireau@example.com;0
C0000000057;Deon Grant;1965-10-28;+43  664 2575742;Deon.Grant@univie.ac.at;0
C0000000058;Travares Tillman;1953-08-05;+43  664 6638889;Travares.Tillman@chello.at;0
C0000000059;Marcus Washington;1984-04-17;+43  676 1853254;Marcus.Washington@yahoo.com;0
C0000000060;Brad Meester;1998-01-03;+43  664 7484018;Brad.Meester@yahoo.com;1
C0000000061;Bobbie Williams;1996-01-20;+43  676 9448105;Bobbie.Williams@hotmail.com;0
C0000000062;Jacoby Shepherd;1964-05-20;+43  1 9822765;Jacoby.Shepherd@hotmail.com;0
C0000000063;Travis Prentice;1941-05-13;+43  664 5458290;Travis.Prentice@gmail.com;0
C0000000064;Lloyd Harrison;1980-03-25;+43  664 5725245;Lloyd.Harrison@yahoo.com;0
C0000000065;Giovanni Carmazzi;1992-09-29;+43  664 9202220;Giovanni.Carmazzi@gmail.com;0
C0000000066;Ron Dugans;1988-03-20;+43  676 8202824;Ron.Dugans@outlook.com;0
C0000000067;Mark Simoneau;1954-04-21;+43  664 9532840;Mark.Simoneau@gmail.com;0
C0000000068;Erron Kinney;1988-03-29;+43  664 7457519;Erron.Kinney@chello.at;0
C0000000069;Dez White;1973-10-19;+43  664 6892580;Dez.White@gmail.com;0
C0000000070;Chris Cole;1993-01-26;+43  676 9644676;Chris.Cole@gmx.de;1
C0000000071;Darwin Walker;2000-02-23;+43  664 3732433;Darwin.Walker@gmx.at;0
C0000000072;Kendrick Clancy;1962-05-13;+43  676 8689747;Kendrick.Clancy@chello.at;0
C0000000073;Ron Dixon;2005-04-03;+43  664 6021357;Ron.Dixon@gmx.at;0
C0000000074;Steve Warren;1969-11-08;+43  680 7566086;Steve.Warren@me.com;0
C0000000075;Chris Redman;2007-12-21;+43  1 3726290;Chris.Redman@gmail.com;0
C0000000076;J.R. Redmond;1946-02-05;+43  676 4723368;J.RRedmond@gmx.de;0
C0000000077;Hank Poteat;1963-12-21;+43  664 2841365;Hank.Poteat@hotmail.com;0
C0000000078;Laveranues Coles;2002-10-22;+43  680 9833713;Laveranues.Coles@chello.at;0
C0000000079;JaJuan Dawson;1951-07-03;+43  664 6580786;JaJuan.Dawson@me.com;0
C0000000080;Darrell Jackson;1956-04-07;+43  680 7621268;Darrell.Jackson@gmx.de;1
C0000000081;Reuben Droughns;1947-06-06;+43  664 7098512;Reuben.Droughns@example.com;0
C0000000082;Leander Jordan;1976-03-26;+43  1 5057098;Leander.Jordan@univie.ac.at;0
C0000000083;Damion McIntosh;1966-09-05;+43  676 5256888;Damion.McIntosh@outlook.com;0
C0000000084;Ben Kelly;1986-09-20;+43  1 9481237;Ben.Kelly@chello.at;0
C0000000085;Greg Wesley;1998-03-08;+43  680 9899991;Greg.Wesley@univie.ac.at;0
C0000000086;Jeff Ulbrich;1994-02-16;+43  676 3414937;Jeff.Ulbrich@chello.at;0
C0000000087;Dustin Lyman;1998-10-07;+43  1 6252014;Dustin.Lyman@univie.ac.at;0
C0000000088;Doug Chapman;2002-09-18;+43  676 8074311;Doug.Chapman@chello.at;0
C0000000089;Corey Moore;1978-05-23;+43  664 3173127;Corey.Moore@yahoo.com;0
C0000000090;Nate Webster;1979-06-04;+43  664 7630711;Nate.Webster@chello.at;1
C0000000091;David Macklin;1998-11-30;+43  664 3223712;David.Macklin@example.com;0
C0000000092;T.J. Slaughter;1945-01-21;+43  1 9650257;T.JSlaughter@gmx.at;0
C0000000093;Byron Frisch;1947-09-15;+43  1 6160859;Byron.Frisch@chello.at;0
C0000000094;John St. Clair;1992-02-22;+43  664 4394586;John.StClair@me.com;0
C0000000095;Lewis Sanders;1979-02-01;+43  664 9332835;Lewis.Sanders@univie.ac.at;0
C0000000096;Terrelle Smith;1966-10-04;+43  1 9141139;Terrelle.Smith@gmx.at;0
C0000000097;Curtis Keaton;1960-09-05;+43  680 6216657;Curtis.Keaton@gmx.at;0
C0000000098;Na'il Diggs;1992-01-01;+43  676 6663384;Nail.Diggs@univie.ac.at;0
C0000000099;Gari Scott;1945-03-13;+43  680 8746534;Gari.Scott@me.com;0
C0000000100;Michael Thompson;1993-12-16;+43  676 6134180;Michael.Thompson@gmail.com;1
C0000000101;Jerry Johnson;1955-02-04;+43  680 1461623;Jerry.Johnson@chello.at;0
C0000000102;David Barrett;1941-11-26;+43  664 4564441;David.Barrett@chello.at;0
C0000000103;Danny Farmer;1957-05-07;+43  676 2879544;Danny.Farmer@gmx.de;0
C0000000104;Kaulana Noa;1986-07-20;+43  676 9445641;Kaulana.Noa@chello.at;0
C0000000105;Brandon Short;1966-09-20;+43  676 4579914;Brandon.Short@univie.ac.at;0
C0000000106;Antonio Wilson;1990-05-29;+43  664 8784833;Antonio.Wilson@gmx.at;0
C0000000107;Junior Ioane;1996-07-09;+43  664 8427615;Junior.Ioane@hotmail.com;0
C0000000108;John Keith;1960-01-14;+43  676 4446787;John.Keith@gmx.at;0
C0000000109;Kareem Larrimore;1992-09-15;+43  1 8199801;Kareem.Larrimore@chello.at;0
C0000000110;Aaron Shea;1948-12-08;+43  664 6286101;Aaron.Shea@chello.at;1
C0000000111;Trevor Gaylor;1951-06-25;+43  680 6572011;Trevor.Gaylor@chello.at;0
C0000000112;Cooper Carlisle;1951-06-11;+43  680 9555899;Cooper.Carlisle@yahoo.com;0
C0000000113;Leonardo Carson;2002-07-15;+43  664 4383885;Leonardo.Carson@hotmail.com;0
C0000000114;Anthony Lucas;1953-11-23;+43  664 5911905;Anthony.Lucas@hotmail.com;0
C0000000115;Frank Moreau;1977-02-09;+43  664 1310795;Frank.Moreau@hotmail.com;0
C0000000116;Marcus Bell;1981-02-13;+43  664 2993198;Marcus.Bell@univie.ac.at;0
C0000000117;Deon Dyer;1948-10-07;+43  676 4337667;Deon.Dyer@chello.at;0
C0000000118;Tyrone Carter;1971-12-20;+43  676 8155723;Tyrone.Carter@chello.at;0
C0000000119;Isaiah Kacyvenski;1955-11-21;+43  664 5647010;Isaiah.Kacyvenski@gmail.com;0
C0000000120;Alvin McKinley;2004-09-08;+43  664 1789755;Alvin.McKinley@hotmail.com;1
C0000000121;Avion Black;1994-08-12;+43  664 8156187;Avion.Black@gmx.at;0
C0000000122;Josh Williams;1970-07-18;+43  676 4431179;Josh.Williams@chello.at;0
C0000000123;Joey Chustz;1947-05-09;+43  680 1792059;Joey.Chustz@chello.at;0
C0000000124;Bobby Myers;1959-05-18;+43  664 2457320;Bobby.Myers@gmail.com;0
C0000000125;Reggie Austin;1988-12-17;+43  676 8168327;Reggie.Austin@yahoo.com;0
C0000000126;Gary Berry;1941-09-26;+43  664 4955090;Gary.Berry@gmail.com;0
C0000000127;Greg Randall;1962-04-13;+43  664 8889357;Greg.Randall@gmx.at;0
C0000000128;Peter Sirmon;1959-12-26;+43  676 3410715;Peter.Sirmon@hotmail.com;0
C0000000129;Michael Moore;1950-02-21;+43  676 3041786;Michael.Moore@me.com;0
C0000000130;Anthony Malbrough;1972-05-22;+43  676 8720470;Anthony.Malbrough@gmail.com;1
C0000000131;Tutan Reyes;1961-05-03;+43  664 7663848;Tutan.Reyes@outlook.com;0
C0000000132;Paul Smith;1948-04-25;+43  680 5079598;Paul.Smith@univie.ac.at;0
C0000000133;Robert Bean;2000-09-07;+43  1 2083913;Robert.Bean@chello.at;0
C0000000134;Anthony Midget;1961-01-29;+43  664 1275437;Anthony.Midget@chello.at;0
C0000000135;Aric Morris;1961-05-20;+43  1 5434908;Aric.Morris@outlook.com;0
C0000000136;Mao Tosi;1963-02-20;+43  664 9542997;Mao.Tosi@chello.at;0
C0000000137;Clark Haggans;1951-02-09;+43  1 8247477;Clark.Haggans@univie.ac.at;0
C0000000138;Matt Johnson;1970-03-15;+43  676 3182855;Matt.Johnson@hotmail.com;0
C0000000139;Brian Young;1966-06-28;+43  676 4258611;Brian.Young@chello.at;0
C0000000140;Ralph Brown;1941-10-27;+43  664 1689627;Ralph.Brown@yahoo.com;1
C0000000141;Dave Stachelski;1965-04-14;+43  664 1046565;Dave.Stachelski@hotmail.com;0
C0000000142;Shane Lechler;1949-05-12;+43  664 3909415;Shane.Lechler@hotmail.com;0
C0000000143;Windrell Hayes;1987-01-01;+43  664 7963184;Windrell.Hayes@univie.ac.at;0
C0000000144;Michael Wiley;1941-07-31;+43  680 3842274;Michael.Wiley@me.com;0
C0000000145;Todd Franz;1962-06-18;+43  664 1896624;Todd.Franz@outlook.com;0
C0000000146;Lamar Chapman;1976-01-01;+43  680 5265353;Lamar.Chapman@chello.at;0
C0000000147;Gillis Wilson;1968-12-22;+43  664 5098093;Gillis.Wilson@gmx.at;0
C0000000148;Richard Mercier;1981-12-29;+43  664 6800399;Richard.Mercier@yahoo.com;0
C0000000149;Kabeer Gbaja-Biamila;1965-04-05;+43  1 3457929;Kabeer.Gbaja-Biamila@chello.at;0
C0000000150;John Milem;1940-04-12;+43  676 8022690;John.Milem@gmail.com;1
C0000000151;Joey Jamison;1995-01-30;+43  676 4519887;Joey.Jamison@gmx.at;0
C0000000152;Arturo Freeman;1967-10-12;+43  664 2760269;Arturo.Freeman@gmx.at;0
C0000000153;Dante Hall;1945-05-13;+43  676 9622053;Dante.Hall@chello.at;0
C0000000154;Muneer Moore;1946-10-14;+43  676 1426438;Muneer.Moore@me.com;0
C0000000155;Quincy Sanders;1949-03-23;+43  680 6114741;Quincy.Sanders@chello.at;0
C0000000156;Sammy Morris;1995-08-14;+43  1 2161554;Sammy.Morris@yahoo.com;0
C0000000157;James Whalen;2003-07-05;+43  1 2285287;James.Whalen@gmx.at;0
C0000000158;Austin Wheatley;1997-04-22;+43  664 4186865;Austin.Wheatley@hotmail.com;0
C0000000159;Kiwaukee Thomas;1983-07-05;+43  1 2408568;Kiwaukee.Thomas@gmx.de;0
C0000000160;Frank Chamberlin;1961-06-19;+43  676 8694134;Frank.Chamberlin@me.com;1
C0000000161;Jeff Marriott;1949-08-19;+43  680 2706150;Jeff.Marriott@gmail.com;0
C0000000162;Pat Dennis;1981-10-15;+43  664 1725706;Pat.Dennis@example.com;0
C0000000163;Tee Martin;1973-05-26;+43  664 9934902;Tee.Martin@me.com;0
C0000000164;Jay Tant;1991-05-19;+43  680 8261258;Jay.Tant@me.com;0
C0000000165;Troy Walters;2006-04-27;+43  680 8894724;Troy.Walters@outlook.com;0
C0000000166;Chad Morton;1972-09-19;+43  664 2365011;Chad.Morton@chello.at;0
C0000000167;Ernest Grant;1985-08-17;+43  664 8163123;Ernest.Grant@chello.at;0
C0000000168;Marc Bulger;1952-10-20;+43  664 3203896;Marc.Bulger@outlook.com;0
C0000000169;Neil Rackers;1965-03-29;+43  664 1350310;Neil.Rackers@gmail.com;0
C0000000170;Frank Murphy;1969-11-26;+43  664 4791092;Frank.Murphy@gmx.de;1
C0000000171;Thomas Hamner;1987-09-20;+43  680 3604890;Thomas.Hamner@gmail.com;0
C0000000172;Mareno Philyaw;1992-10-11;+43  664 9464978;Mareno.Philyaw@example.com;0
C0000000173;Chris Combs;1977-03-11;+43  664 9686089;Chris.Combs@chello.at;0
C0000000174;Paul Edinger;1956-10-13;+43  664 9207170;Paul.Edinger@gmail.com;0
C0000000175;James Williams;1955-09-25;+43  664 3498197;James.Williams@chello.at;0
C0000000176;Jabari Issa;1965-09-24;+43  680 6894463;Jabari.Issa@yahoo.com;0
C0000000177;Dhani Jones;1955-08-05;+43  676 9978926;Dhani.Jones@me.com;0
C0000000178;John Frank;1961-07-08;+43  664 8295854;John.Frank@yahoo.com;0
C0000000179;Tony Scott;1941-08-16;+43  664 8789362;Tony.Scott@me.com;0
C0000000180;Mario Edwards;1964-01-13;+43  664 6579150;Mario.Edwards@gmail.com;1
C0000000181;Quinton Reese;1984-09-02;+43  664 4927783;Quinton.Reese@chello.at;0
C0000000182;Jeno James;2004-08-09;+43  664 2144782;Jeno.James@me.com;0
C0000000183;Spergon Wynn;1969-09-04;+43  664 6128900;Spergon.Wynn@gmail.com;0
C0000000184;Shannon Taylor;1951-10-27;+43  664 7718290;Shannon.Taylor@gmail.com;0
C0000000185;Tim Watson;1941-11-09;+43  676 1624190;Tim.Watson@gmail.com;0
C0000000186;Adalius Thomas;1969-05-15;+43  1 1406373;Adalius.Thomas@chello.at;0
C0000000187;Antwan Harris;1983-01-09;+43  676 7952149;Antwan.Harris@univie.ac.at;0
C0000000188;Darnell Alford;1949-07-29;+43  664 4734431;Darnell.Alford@chello.at;0
C0000000189;Mike Anderson;1940-12-18;+43  676 1186058;Mike.Anderson@me.com;0
C0000000190;John Hilliard;1982-03-26;+43  664 5433747;John.Hilliard@chello.at;1
C0000000191;Cedric Woodard;1995-01-08;+43  680 1361426;Cedric.Woodard@me.com;0
C0000000192;John Romero;1987-12-07;+43  664 2894438;John.Romero@me.com;0
C0000000193;David Gibson;1947-05-07;+43  680 8531375;David.Gibson@hotmail.com;0
C0000000194;Leif Larsen;1965-06-12;+43  664 4536119;Leif.Larsen@chello.at;0
C0000000195;Michael Hawthorne;1960-12-17;+43  664 7132034;Michael.Hawthorne@me.com;0
C0000000196;Emanuel Smith;1987-07-01;+43  680 3703448;Emanuel.Smith@outlook.com;0
C0000000197;Robaire Smith;1993-03-15;+43  664 9975859;Robaire.Smith@chello.at;0
C0000000198;Matt Bowen;1948-01-29;+43  1 2962461;Matt.Bowen@chello.at;0
C0000000199;Tom Brady;1976-08-27;+43  664 5476235;Tom.Brady@univie.ac.at;0
C0000000200;Sherrod Gideon;1983-12-05;+43  664 1337142;Sherrod.Gideon@univie.ac.at;1
C0000000201;David Nugent;1962-01-21;+43  664 9573432;David.Nugent@outlook.com;0
C0000000202;Todd Husak;1944-11-20;+43  676 4915441;Todd.Husak@chello.at;0
C0000000203;Damen Wheeler;1972-05-07;+43  664 8995761;Damen.Wheeler@chello.at;0
C0000000204;Jason Gavadza;1973-01-03;+43  680 3953027;Jason.Gavadza@yahoo.com;0
C0000000205;JaJuan Seider;1986-03-14;+43  664 3383248;JaJuan.Seider@outlook.com;0
C0000000206;Brad Bedell;1956-11-27;+43  680 8477700;Brad.Bedell@gmail.com;0
C0000000207;Manuia Savea;1952-09-13;+43  664 5432956;Manuia.Savea@outlook.com;0
C0000000208;Desmond Kitchings;1966-04-15;+43  664 5488257;Desmond.Kitchings@gmx.at;0
C0000000209;Eric Chandler;1965-04-30;+43  1 6808858;Eric.Chandler@me.com;0
C0000000210;Brad St. Louis;2000-11-17;+43  664 2469452;Brad.StLouis@gmx.de;1
C0000000211;Darrick Vaughn;1949-06-14;+43  680 2212921;Darrick.Vaughn@univie.ac.at;0
C0000000212;Tim Rattay;1952-04-28;+43  676 6638237;Tim.Rattay@chello.at;0
C0000000213;Mike Green;1977-08-16;+43  1 4910842;Mike.Green@univie.ac.at;0
C0000000214;Jarious Jackson;1975-04-22;+43  676 7490119;Jarious.Jackson@chello.at;0
C0000000215;Sekou Sanyika;1964-12-12;+43  680 6954304;Sekou.Sanyika@gmx.de;0
C0000000216;Delbert Cowsette;1991-06-28;+43  664 2654066;Delbert.Cowsette@example.com;0
C0000000217;Jeremiah Parker;1953-09-12;+43  676 5382882;Jeremiah.Parker@me.com;0
C0000000218;Richard Seals;1969-12-13;+43  664 3845617;Richard.Seals@chello.at;0
C0000000219;Orantes Grant;1979-09-27;+43  664 6795972;Orantes.Grant@yahoo.com;0
C0000000220;Andrew Kline;1994-12-04;+43  676 3764947;Andrew.Kline@chello.at;1
C0000000221;Lester Towns;1975-08-09;+43  664 5002051;Lester.Towns@gmx.at;0
C0000000222;Jason Thomas;1998-05-07;+43  676 1279262;Jason.Thomas@me.com;0
C0000000223;James Cotton;1967-05-15;+43  680 4713167;James.Cotton@chello.at;0
C0000000224;Mark Tauscher;1994-08-05;+43  664 6957282;Mark.Tauscher@me.com;0
C0000000225;Rashidi Barnes;1985-06-20;+43  680 6571591;Rashidi.Barnes@univie.ac.at;0
C0000000226;Casey Tisdale;1964-10-24;+43  680 7916711;Casey.Tisdale@chello.at;0
C0000000227;Mondriel Fulcher;1986-05-12;+43  680 6045605;Mondriel.Fulcher@hotmail.com;0
C0000000228;Kevin Houser;1993-01-09;+43  664 3529945;Kevin.Houser@yahoo.com;0
C0000000229;Ron Moore;1991-11-25;+43  664 1274561;Ron.Moore@chello.at;0
C0000000230;Brian Jennings;1968-12-01;+43  680 2174906;Brian.Jennings@example.com;1
C0000000231;Clifton Black;1972-07-27;+43  676 2331197;Clifton.Black@chello.at;0
C0000000232;Jeff Harris;1960-12-24;+43  680 3863930;Jeff.Harris@gmail.com;0
C0000000233;Drew Haddad;1949-03-26;+43  664 8807876;Drew.Haddad@gmx.de;0
C0000000234;Joe Hamilton;1957-06-09;+43  664 4099705;Joe.Hamilton@hotmail.com;0
C0000000235;Rob Renes;1952-04-22;+43  676 2885449;Rob.Renes@univie.ac.at;0
C0000000236;Erik Olson;1958-06-15;+43  680 7660613;Erik.Olson@chello.at;0
C0000000237;Wes Shivers;1981-09-04;+43  664 7150585;Wes.Shivers@hotmail.com;0
C0000000238;Rodregis Brooks;1991-05-18;+43  664 2773847;Rodregis.Brooks@chello.at;0
C0000000239;Patrick Pass;1961-01-01;+43  664 2100071;Patrick.Pass@chello.at;0
C0000000240;Mike Malano;2007-08-05;+43  680 9025115;Mike.Malano@hotmail.com;1
C0000000241;Rob Meier;1999-02-12;+43  676 2205484;Rob.Meier@univie.ac.at;0
C0000000242;Charles Lee;2001-12-29;+43  1 2053482;Charles.Lee@me.com;0
C0000000243;Shyrone Stith;1969-01-08;+43  664 7780097;Shyrone.Stith@chello.at;0
C0000000244;Giles Cole;1956-07-28;+43  680 1440037;Giles.Cole@chello.at;0
C0000000245;Danny Clark;1998-08-04;+43  664 8758009;Danny.Clark@yahoo.com;0
C0000000246;Leroy Fields;2005-01-08;+43  676 4347395;Leroy.Fields@hotmail.com;0
C0000000247;Mark Baniewicz;1995-08-25;+43  664 5068913;Mark.Baniewicz@chello.at;0
C0000000248;Lewis Kelly;2005-05-11;+43  664 6445411;Lewis.Kelly@chello.at;0
C0000000249;Eugene McCaslin;1979-09-06;+43  664 7100110;Eugene.McCaslin@gmail.com;0
C0000000250;Ethan Howell;1983-05-19;+43  664 4061062;Ethan.Howell@me.com;1
C0000000251;DaShon Polk;1988-06-26;+43  664 3380892;DaShon.Polk@gmx.de;0
C0000000252;Rondell Mealey;1955-08-12;+43  676 4322398;Rondell.Mealey@univie.ac.at;0
C0000000253;Alfonso Boone;1943-11-21;+43  664 9872413;Alfonso.Boone@chello.at;0
C0000000254;Michael Green;1954-09-26;+43  664 9470724;Michael.Green@outlook.com;0
C0000000255;Michael Vick;1971-06-11;+43  676 8777997;Michael.Vick@chello.at;0
C0000000256;Leonard Davis;1990-01-05;+43  664 1451943;Leonard.Davis@chello.at;0
C0000000257;Gerard Warren;1994-11-23;+43  680 9950174;Gerard.Warren@me.com;0
C0000000258;Justin Smith;1999-11-04;+43  680 6390233;Justin.Smith@gmx.at;0
C0000000259;LaDainian Tomlinson;1984-08-25;+43  1 1974803;LaDainian.Tomlinson@gmx.at;0
C0000000260;Richard Seymour;1996-12-08;+43  680 8931588;Richard.Seymour@outlook.com;1
C0000000261;Andre Carter;1983-02-28;+43  664 1542807;Andre.Carter@univie.ac.at;0
C0000000262;David Terrell;1967-03-29;+43  1 3765527;David.Terrell@yahoo.com;0
C0000000263;Koren Robinson;2000-06-21;+43  1 4756185;Koren.Robinson@hotmail.com;0
C0000000264;Jamal Reynolds;1983-07-29;+43  664 6042406;Jamal.Reynolds@example.com;0
C0000000265;Dan Morgan;1946-04-25;+43  680 7699152;Dan.Morgan@gmx.de;0
C0000000266;Damione Lewis;1990-02-06;+43  676 4168138;Damione.Lewis@me.com;0
C0000000267;Marcus Stroud;1968-03-26;+43  676 5210563;Marcus.Stroud@yahoo.com;0
C0000000268;Kenyatta Walker;1997-12-17;+43  664 2760695;Kenyatta.Walker@hotmail.com;0
C0000000269;Rod Gardner;2003-02-06;+43  664 2478183;Rod.Gardner@chello.at;0
C0000000270;Santana Moss;1995-05-31;+43  1 4485958;Santana.Moss@me.com;1
C0000000271;Steve Hutchinson;1954-05-26;+43  1 4355326;Steve.Hutchinson@me.com;0
C0000000272;Jeff Backus;1967-10-20;+43  680 4213733;Jeff.Backus@gmx.at;0
C0000000273;Casey Hampton;1964-03-01;+43  680 3208797;Casey.Hampton@chello.at;0
C0000000274;Adam Archuleta;1979-04-07;+43  664 3137703;Adam.Archuleta@gmx.at;0
C0000000275;Nate Clements;1976-03-20;+43  680 5698342;Nate.Clements@univie.ac.at;0
C0000000276;Will Allen;1940-12-18;+43  664 1818441;Will.Allen@chello.at;0
C0000000277;Deuce McAllister;2005-02-28;+43  1 9642020;Deuce.McAllister@gmail.com;0
C0000000278;Willie Middlebrooks;1993-07-08;+43  1 6269181;Willie.Middlebrooks@yahoo.com;0
C0000000279;Freddie Mitchell;1960-02-12;+43  1 3295041;Freddie.Mitchell@chello.at;0
C0000000280;Jamar Fletcher;1958-05-17;+43  680 1375958;Jamar.Fletcher@me.com;1
C0000000281;Michael Bennett;1993-10-24;+43  680 4995931;Michael.Bennett@chello.at;0
C0000000282;Derrick Gibson;1986-02-23;+43  680 6156845;Derrick.Gibson@yahoo.com;0
C0000000283;Ryan Pickett;1956-02-25;+43  664 6298841;Ryan.Pickett@chello.at;0
C0000000284;Reggie Wayne;1985-04-15;+43  680 7577756;Reggie.Wayne@outlook.com;0
C0000000285;Todd Heap;1975-03-28;+43  680 5045715;Todd.Heap@hotmail.com;0
C0000000286;Drew Brees;1967-03-29;+43  664 4363179;Drew.Brees@chello.at;0
C0000000287;Quincy Morgan;1961-04-08;+43  680 2620951;Quincy.Morgan@gmx.at;0
C0000000288;Kyle Vanden Bosch;1941-06-07;+43  680 5444936;Kyle.Vanden.Bosch@yahoo.com;0
C0000000289;Alge Crumpler;1952-09-06;+43  664 3491015;Alge.Crumpler@hotmail.com;0
C0000000290;Chad Johnson;2003-11-25;+43  1 2302605;Chad.Johnson@hotmail.com;1
C0000000291;Idrees Bashir;1997-08-29;+43  676 3219169;Idrees.Bashir@gmx.at;0
C0000000292;Anthony Thomas;1996-06-10;+43  664 6394063;Anthony.Thomas@yahoo.com;0
C0000000293;Kendrell Bell;1984-07-14;+43  676 7693757;Kendrell.Bell@gmx.at;0
C0000000294;Ken Lucas;1973-04-29;+43  664 1392596;Ken.Lucas@outlook.com;0
C0000000295;Robert Ferguson;1954-06-27;+43  680 2615461;Robert.Ferguson@chello.at;0
